Percent_flooding, Inter arrival time, mining_power_utilization,fraction_adversary
10,2,0.68037,0.46003016591251883
10,4,0.835971,0.4329896907216495
10,6,0.888489,0.4686868686868687
10,8,0.920833,0.44243792325056436
10,10,0.935644,0.5461741424802111
20,2,0.732571,0.5950155763239875
20,4,0.898333,0.5444444444444444
20,6,0.902214,0.4489795918367347
20,8,0.920892,0.4087912087912088
20,10,0.959698,0.5706806282722513
30,2,0.73168,0.5892307692307692
30,4,0.891269,0.4870848708487085
30,6,0.934653,0.5010570824524313
30,8,0.932886,0.562200956937799
30,10,0.9475,0.5289473684210526
30,10,0.961929,0.5131578947368421
